filter_num	h_units	auroc_on_CV	mean_auroc_on_CV
32	16	[0.6339678, 0.6281113, 0.6495601, 0.62463343, 0.6363636]	0.6345272064208984
32	32	[0.6486091, 0.6193265, 0.6422287, 0.6451613, 0.64076245]	0.6392175555229187
32	64	[0.62518305, 0.6325037, 0.6392962, 0.64076245, 0.6495601]	0.6374610662460327
64	16	[0.6368961, 0.6193265, 0.6480938, 0.627566, 0.64662755]	0.6357019543647766
64	32	[0.64128846, 0.6325037, 0.6392962, 0.627566, 0.6392962]	0.6359900236129761
64	64	[0.63103956, 0.61200583, 0.6334311, 0.6304985, 0.6363636]	0.6286677122116089
128	16	[0.6427526, 0.61200583, 0.62903225, 0.6378299, 0.6598241]	0.6362889409065247
128	32	[0.63543195, 0.62371886, 0.6422287, 0.6304985, 0.64076245]	0.6345280408859253
128	64	[0.6442167, 0.60322106, 0.6378299, 0.62903225, 0.6451613]	0.631892204284668
