FPR	TPR
0.0	0.0
0.0	0.0021691973969631237
0.0	0.015184381778741865
0.0017391304347826088	0.015184381778741865
0.0017391304347826088	0.019522776572668113
0.0034782608695652175	0.019522776572668113
0.0034782608695652175	0.04121475054229935
0.0052173913043478265	0.04121475054229935
0.0052173913043478265	0.04338394793926247
0.006956521739130435	0.04338394793926247
0.006956521739130435	0.049891540130151846
0.008695652173913044	0.049891540130151846
0.008695652173913044	0.052060737527114966
0.010434782608695653	0.052060737527114966
0.010434782608695653	0.06941431670281996
0.01391304347826087	0.06941431670281996
0.01391304347826087	0.07158351409978309
0.01565217391304348	0.07158351409978309
0.01565217391304348	0.07592190889370933
0.017391304347826087	0.07592190889370933
0.017391304347826087	0.08459869848156182
0.019130434782608695	0.08459869848156182
0.019130434782608695	0.08893709327548807
0.020869565217391306	0.08893709327548807
0.020869565217391306	0.09327548806941431
0.022608695652173914	0.09327548806941431
0.022608695652173914	0.09544468546637744
0.02434782608695652	0.09544468546637744
0.02434782608695652	0.1193058568329718
0.02782608695652174	0.1193058568329718
0.02782608695652174	0.13232104121475055
0.03130434782608696	0.13232104121475055
0.03130434782608696	0.13449023861171366
0.03304347826086956	0.13449023861171366
0.03304347826086956	0.14967462039045554
0.034782608695652174	0.14967462039045554
0.034782608695652174	0.1540130151843818
0.036521739130434785	0.1540130151843818
0.036521739130434785	0.15835140997830802
0.03826086956521739	0.15835140997830802
0.03826086956521739	0.1648590021691974
0.04	0.1648590021691974
0.04	0.1735357917570499
0.04173913043478261	0.1735357917570499
0.04173913043478261	0.18004338394793926
0.043478260869565216	0.18004338394793926
0.043478260869565216	0.19305856832971802
0.04521739130434783	0.19305856832971802
0.04521739130434783	0.19956616052060738
0.04695652173913043	0.19956616052060738
0.04695652173913043	0.2017353579175705
0.04869565217391304	0.2017353579175705
0.04869565217391304	0.22342733188720174
0.050434782608695654	0.22342733188720174
0.050434782608695654	0.2299349240780911
0.05217391304347826	0.2299349240780911
0.05217391304347826	0.23427331887201736
0.05565217391304348	0.23427331887201736
0.05565217391304348	0.24078091106290672
