hidden_units	units	auroc_on_CV	mean_auroc_on_CV
16	256	[0.6281113, 0.6061493, 0.6304985, 0.61730206, 0.6217009]	0.6207524538040161
16	512	[0.6207906, 0.6002928, 0.6334311, 0.61876833, 0.627566]	0.6201697587966919
16	1024	[0.6193265, 0.6046852, 0.62463343, 0.6041056, 0.62463343]	0.6154767870903015
32	256	[0.62518305, 0.5959004, 0.6158358, 0.61143696, 0.61876833]	0.6134248971939087
32	512	[0.6266472, 0.60175693, 0.61876833, 0.6158358, 0.62903225]	0.6184080839157104
32	1024	[0.6222547, 0.60175693, 0.6202346, 0.60703814, 0.627566]	0.6157700419425964
64	256	[0.6149341, 0.59150803, 0.6304985, 0.62463343, 0.6217009]	0.6166549921035767
64	512	[0.62518305, 0.60322106, 0.61730206, 0.6099707, 0.6217009]	0.6154755353927612
64	1024	[0.6266472, 0.60175693, 0.61730206, 0.61143696, 0.62316716]	0.6160620450973511
