hidden_units	units	auroc_on_CV	mean_auroc_on_CV
16	256	[0.64415157, 0.6079078, 0.6359143, 0.59570956, 0.59240925]	0.615218460559845
16	512	[0.6425041, 0.60131794, 0.6490939, 0.6089109, 0.5841584]	0.6171970367431641
16	1024	[0.6408567, 0.61120266, 0.6425041, 0.6105611, 0.5891089]	0.6188467144966125
32	256	[0.6359143, 0.6029654, 0.6342669, 0.60231024, 0.5907591]	0.6132431626319885
32	512	[0.63261944, 0.61449754, 0.63261944, 0.6122112, 0.60561055]	0.6195116639137268
32	1024	[0.6392092, 0.6062603, 0.6392092, 0.6006601, 0.5841584]	0.6138994693756104
64	256	[0.63261944, 0.60131794, 0.6375618, 0.6089109, 0.5858086]	0.6132436990737915
64	512	[0.6523888, 0.61120266, 0.6276771, 0.60231024, 0.5940594]	0.6175276637077332
64	1024	[0.64579904, 0.6046128, 0.6408567, 0.6089109, 0.5759076]	0.615217387676239
