filter_num	h_units	auroc_on_CV	mean_auroc_on_CV
32	16	[0.63103956, 0.6222547, 0.6319648, 0.6319648, 0.6480938]	0.6330634951591492
32	32	[0.63103956, 0.6222547, 0.6304985, 0.643695, 0.643695]	0.6342365145683289
32	64	[0.6281113, 0.6339678, 0.643695, 0.61730206, 0.6554252]	0.6357002258300781
64	16	[0.6222547, 0.62371886, 0.64662755, 0.61730206, 0.64076245]	0.6301331520080566
64	32	[0.6325037, 0.6163982, 0.6334311, 0.6334311, 0.6392962]	0.6310120820999146
64	64	[0.6339678, 0.6193265, 0.62903225, 0.63489735, 0.6363636]	0.6307174563407898
128	16	[0.63103956, 0.61200583, 0.6363636, 0.6480938, 0.6495601]	0.6354125738143921
128	32	[0.6368961, 0.6105417, 0.6334311, 0.64662755, 0.6304985]	0.631598949432373
128	64	[0.6325037, 0.6090776, 0.64662755, 0.63489735, 0.6480938]	0.6342399716377258
