filter_num	units	auroc_on_CV	mean_auroc_on_CV
32	256	[0.6207906, 0.5959004, 0.6099707, 0.59530795, 0.5938417]	0.6031622886657715
32	512	[0.61786234, 0.6149341, 0.61290324, 0.6026393, 0.6026393]	0.6101956367492676
32	1024	[0.59297216, 0.6427526, 0.627566, 0.59237534, 0.5982405]	0.6107813119888306
64	256	[0.5944363, 0.64128846, 0.6158358, 0.59237534, 0.59237534]	0.6072622537612915
64	512	[0.63543195, 0.6383602, 0.6334311, 0.61290324, 0.5938417]	0.6227935552597046
64	1024	[0.5944363, 0.6002928, 0.6099707, 0.6143695, 0.57917887]	0.5996496081352234
128	256	[0.57686675, 0.5944363, 0.6026393, 0.6041056, 0.5821114]	0.5920318365097046
128	512	[0.6002928, 0.5885798, 0.5483871, 0.5894428, 0.6099707]	0.5873346328735352
128	1024	[0.5739385, 0.5739385, 0.58504397, 0.5967742, 0.5645161]	0.578842282295227
