filter_num	units	auroc_on_CV	mean_auroc_on_CV
32	256	[0.6960193, 0.67068756, 0.6453558, 0.6646562, 0.65821254]	0.6669862866401672
32	512	[0.6875754, 0.6646562, 0.65741855, 0.6779252, 0.660628]	0.6696406602859497
32	1024	[0.6743064, 0.65621233, 0.6441496, 0.6694813, 0.6654589]	0.6619216799736023
64	256	[0.66224366, 0.6755127, 0.64173704, 0.6743064, 0.6557971]	0.6619194149971008
64	512	[0.6875754, 0.66224366, 0.6525935, 0.6731001, 0.65096617]	0.6652957797050476
64	1024	[0.6694813, 0.6610374, 0.6525935, 0.65500605, 0.6437198]	0.6563675999641418
128	256	[0.68516284, 0.5862485, 0.6525935, 0.6731001, 0.65217394]	0.6498557925224304
128	512	[0.6827503, 0.6369119, 0.6598311, 0.58745474, 0.65458935]	0.6443074941635132
128	1024	[0.55247283, 0.6598311, 0.6525935, 0.58745474, 0.6461353]	0.6196974515914917
