filter_num	units	auroc_on_CV	mean_auroc_on_CV
32	256	[0.6281113, 0.62371886, 0.66129035, 0.6422287, 0.62316716]	0.6357032656669617
32	512	[0.6339678, 0.61200583, 0.64662755, 0.64076245, 0.643695]	0.6354117393493652
32	1024	[0.61346996, 0.64568084, 0.6583578, 0.6202346, 0.627566]	0.6330617666244507
64	256	[0.62371886, 0.6383602, 0.6583578, 0.6319648, 0.627566]	0.635993480682373
64	512	[0.6368961, 0.64568084, 0.64076245, 0.643695, 0.6319648]	0.6397997736930847
64	1024	[0.63982433, 0.6339678, 0.66715544, 0.6304985, 0.6202346]	0.6383360624313354
128	256	[0.64568084, 0.51098096, 0.643695, 0.62903225, 0.63489735]	0.6128572225570679
128	512	[0.6266472, 0.63103956, 0.66715544, 0.6085044, 0.6422287]	0.6351150274276733
128	1024	[0.6339678, 0.6105417, 0.6539589, 0.56891495, 0.5058651]	0.5946496725082397
