filter_num	units	auroc_on_CV	mean_auroc_on_CV
32	256	[0.647145, 0.670571, 0.670088, 0.62903225, 0.65102637]	0.6535724401473999
32	512	[0.64568084, 0.6207906, 0.6495601, 0.6422287, 0.6304985]	0.6377517580986023
32	1024	[0.65592974, 0.63543195, 0.686217, 0.6392962, 0.6451613]	0.652407169342041
64	256	[0.6544656, 0.6368961, 0.6568915, 0.6319648, 0.61143696]	0.6383309364318848
64	512	[0.64568084, 0.6222547, 0.6451613, 0.643695, 0.6392962]	0.6392175555229187
64	1024	[0.6442167, 0.6281113, 0.6744868, 0.6304985, 0.6260997]	0.640682578086853
128	256	[0.62957543, 0.65007323, 0.670088, 0.61730206, 0.64076245]	0.6415601968765259
128	512	[0.6193265, 0.6281113, 0.6202346, 0.6334311, 0.6392962]	0.628079891204834
128	1024	[0.6544656, 0.6266472, 0.65102637, 0.64662755, 0.6363636]	0.6430260539054871
