filter_num	h_units	auroc_on_CV	mean_auroc_on_CV
32	16	[0.64579904, 0.61449754, 0.6425041, 0.6369637, 0.6006601]	0.6280848979949951
32	32	[0.6556837, 0.61120266, 0.6556837, 0.6386139, 0.6072607]	0.6336889266967773
32	64	[0.6540362, 0.61614496, 0.66556835, 0.63366336, 0.5990099]	0.633684515953064
64	16	[0.6556837, 0.6276771, 0.6490939, 0.6221122, 0.6138614]	0.6336856484413147
64	32	[0.6556837, 0.6210873, 0.64415157, 0.62376237, 0.6122112]	0.631379246711731
64	64	[0.6490939, 0.61943984, 0.6375618, 0.6254125, 0.61551154]	0.6294038891792297
128	16	[0.66227347, 0.63097197, 0.6359143, 0.6270627, 0.5940594]	0.6300563812255859
128	32	[0.6556837, 0.6243822, 0.63097197, 0.63366336, 0.5973597]	0.6284121870994568
128	64	[0.6540362, 0.61614496, 0.6342669, 0.6254125, 0.60231024]	0.6264341473579407
