filter_num	units	auroc_on_CV	mean_auroc_on_CV
32	256	[0.6530015, 0.64128846, 0.65249264, 0.6422287, 0.6422287]	0.6462479829788208
32	512	[0.6222547, 0.62371886, 0.6363636, 0.627566, 0.6378299]	0.6295466423034668
32	1024	[0.6207906, 0.64128846, 0.6598241, 0.6378299, 0.6378299]	0.6395125389099121
64	256	[0.64128846, 0.63103956, 0.6598241, 0.6422287, 0.643695]	0.6436151266098022
64	512	[0.62518305, 0.6442167, 0.6539589, 0.65102637, 0.64662755]	0.6442025303840637
64	1024	[0.63982433, 0.647145, 0.66715544, 0.62903225, 0.64076245]	0.6447838544845581
128	256	[0.6266472, 0.6325037, 0.643695, 0.6334311, 0.6642229]	0.6400999426841736
128	512	[0.6325037, 0.62957543, 0.6759531, 0.64076245, 0.6554252]	0.6468439102172852
128	1024	[0.64128846, 0.62957543, 0.65102637, 0.6304985, 0.6319648]	0.6368706822395325
