filter_num	units	auroc_on_CV	mean_auroc_on_CV
32	256	[0.6580922, 0.63987136, 0.6330472, 0.6727468, 0.583691]	0.6374896764755249
32	512	[0.659164, 0.6323687, 0.6309013, 0.666309, 0.66845495]	0.6514396071434021
32	1024	[0.65166134, 0.65166134, 0.61587983, 0.63412017, 0.6748927]	0.6456431150436401
64	256	[0.6602358, 0.6452304, 0.63733906, 0.6834764, 0.65772533]	0.6568014025688171
64	512	[0.63987136, 0.6216506, 0.65772533, 0.6534335, 0.6287554]	0.6402872204780579
64	1024	[0.62700963, 0.62700963, 0.6534335, 0.666309, 0.666309]	0.6480141878128052
128	256	[0.6334405, 0.6141479, 0.6309013, 0.5472103, 0.639485]	0.6130369901657104
128	512	[0.6580922, 0.6216506, 0.60193133, 0.6008584, 0.63733906]	0.6239743232727051
128	1024	[0.5841372, 0.62808144, 0.62982833, 0.59334767, 0.583691]	0.6038171648979187
