hidden_units	units	auroc_on_CV	mean_auroc_on_CV
16	256	[0.5585042, 0.57177323, 0.60675514, 0.59951746, 0.615942]	0.5904983878135681
16	512	[0.5536791, 0.57177323, 0.6079614, 0.60193, 0.6086956]	0.5888078808784485
16	1024	[0.5512666, 0.5669481, 0.59831125, 0.60072374, 0.6183575]	0.5871214270591736
32	256	[0.5548854, 0.5669481, 0.5958987, 0.5946924, 0.60144925]	0.5827747583389282
32	512	[0.56212306, 0.56574184, 0.59710497, 0.5898673, 0.6099034]	0.5849481225013733
32	1024	[0.55609167, 0.5765983, 0.59831125, 0.5958987, 0.602657]	0.5859113931655884
64	256	[0.5585042, 0.5693607, 0.59710497, 0.59710497, 0.6147343]	0.5873618125915527
64	512	[0.55609167, 0.5681544, 0.5946924, 0.5910736, 0.6099034]	0.5839830636978149
64	1024	[0.56212306, 0.57056695, 0.60072374, 0.5910736, 0.6147343]	0.5878442525863647
