filter_num	units	auroc_on_CV	mean_auroc_on_CV
32	256	[0.6602358, 0.64737403, 0.6534335, 0.67918456, 0.6888412]	0.6658138036727905
32	512	[0.65166134, 0.6430868, 0.6469957, 0.65450644, 0.67918456]	0.6550869941711426
32	1024	[0.63772774, 0.6355841, 0.66523606, 0.666309, 0.67596567]	0.6561645269393921
64	256	[0.64737403, 0.6463022, 0.64377683, 0.6738197, 0.69527894]	0.6613103151321411
64	512	[0.659164, 0.65166134, 0.6416309, 0.666309, 0.7027897]	0.6643110513687134
64	1024	[0.6559486, 0.6430868, 0.6491416, 0.66201717, 0.6523605]	0.6525108814239502
128	256	[0.65273315, 0.6323687, 0.65128756, 0.6738197, 0.6748927]	0.6570203900337219
128	512	[0.62057877, 0.6430868, 0.6587983, 0.65772533, 0.6866953]	0.6533769369125366
128	1024	[0.642015, 0.6366559, 0.66523606, 0.6534335, 0.6040773]	0.6402835845947266
